fbus,tbus,r,x,b,rateA,rateB,rateC,ratio,angle,status,angmin,angmax,pf,qf,pt,qt,mu_sf,mu_st,mu_angmin,mu_angmax
1033,3050,0.0139,0.136,0.262,647,0,0,0,0,1,0,0,226.77,-1.83,-219.96,40.94,0,0,0,0
1035,1034,0.00438,0.08496,0,130,0,0,1,0,1,0,0,67.5,-9.15,-67.3,13.09,0,0,0,0
1067,1034,0.00795,0.04771,0.00647,98,0,0,0,0,1,0,0,-50.37,-1.11,50.57,1.66,0,0,0,0
1088,1036,0.02065,0.11793,0.01772,98,0,0,0,0,1,0,0,9.82,-3.02,-9.8,1.36,0,0,0,0
1037,1071,0.00669,0.04319,0.00824,300,0,0,0,0,1,0,0,-45.11,-15.5,45.27,15.71,0,0,0,0
1039,1038,0.00201,0.08591,0,200,0,0,1,0,1,0,0,110.63,-20.76,-110.38,31.65,0,0,0,0
1082,1038,0.01115,0.04969,0.00729,149,0,0,0,0,1,0,0,61.27,-6.53,-60.87,7.57,0,0,0,0
1083,1038,0.01,0.05,0.007,221,0,0,0,0,1,0,0,-76.44,21.87,77.05,-19.57,0,0,0,0
1040,1090,0.02991,0.13329,0.01955,149,0,0,0,0,1,0,0,-58.21,-3.78,59.23,6.36,0,0,0,0
1042,1041,0.00419,0.11123,0,145,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1043,1041,0.003,0.12844,0,95,0,0,1,0,1,0,0,44.1,-3.61,-44.04,6.12,0,0,0,0
1065,1041,0.00386,0.02203,0.00331,147,0,0,0,0,1,0,0,15.15,10.58,-15.14,-10.84,0,0,0,0
1041,1067,0.00393,0.01722,0.00262,156.45,0,0,0,0,1,0,0,59.18,4.72,-59.04,-4.38,0,0,0,0
1044,3019,0.03857,0.17192,0.02521,149,0,0,0,0,1,0,0,46.65,-18.42,-45.72,19.9,0,0,0,0
3130,1044,0.02731,0.19029,0.03111,221,0,0,0,0,1,0,0,62.39,-10.04,-61.33,14.26,0,0,0,0
1045,1064,0.00545,0.03794,0.0062,221,0,0,0,0,1,0,0,-10.72,16.63,10.74,-17.06,0,0,0,0
1087,1046,0.03262,0.14269,0.02173,149,0,0,0,0,1,0,0,78.21,-13.24,-76.29,19.36,0,0,0,0
1046,3009,0.05654,0.23454,0.0398,149,0,0,0,0,1,0,0,65.2,-9.82,-62.89,15.2,0,0,0,0
1048,1047,0.00335,0.06576,0,390,0,0,1,0,1,0,0,0,0,-0,0,0,0,0,0
1049,1047,0.00276,0.11783,0,390,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1050,1047,0.00313,0.09941,0,124,0,0,1,0,1,0,0,89.15,-7.52,-88.9,15.48,0,0,0,0
1051,1047,0.0056,0.1283,0,117,0,0,1,0,1,0,0,89.15,-5.5,-88.71,15.74,0,0,0,0
1052,1047,0.00368,0.0826,0,110,0,0,1,0,1,0,0,89.15,-9.92,-88.86,16.55,0,0,0,0
1053,1047,0.0023,0.08808,0,250,0,0,1,0,1,0,0,-80.67,24.86,80.83,-18.9,0,0,0,0
1047,1085,0.00947,0.06117,0.01167,221,0,0,0,0,1,0,0,54.99,-13,-54.69,13.72,0,0,0,0
1053,1081,0.003,0.03,0.06,548,0,0,0,0,1,0,0,80.67,-24.86,-80.47,20.51,0,0,0,0
1054,1056,0.02202,0.09633,0.01467,149,0,0,0,0,1,0,0,-12.03,-16.36,12.12,15.19,0,0,0,0
1089,1054,0.08737,0.21357,0.02796,98,0,0,0,0,1,0,0,3.12,-14.5,-2.96,12.11,0,0,0,0
1055,1089,0.04982,0.12179,0.01595,98,0,0,0,0,1,0,0,44.71,-2.17,-43.72,3,0,0,0,0
1057,1056,0.00315,0.1312,0,160,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1056,1061,0.02267,0.12946,0.01945,150,0,0,0,0,1,0,0,-59.72,26.43,60.65,-23.18,0,0,0,0
1056,1065,0.02269,0.12962,0.01948,250,0,0,0,0,1,0,0,-89.13,37.95,91.15,-28.41,0,0,0,0
1059,1058,0.02655,0.46187,0,33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1060,1058,0.00894,0.38854,0,27,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1069,1058,0.0074,0.05155,0.00843,221,0,0,0,0,1,0,0,87.43,-8.16,-86.89,11.04,0,0,0,0
1069,1058,0.0074,0.05155,0.00843,221,0,0,0,0,1,0,0,87.43,-8.16,-86.89,11.04,0,0,0,0
1058,1087,0.01573,0.10956,0.01791,221,0,0,0,0,1,0,0,80.16,-12.95,-79.18,17.89,0,0,0,0
1058,1087,0.01573,0.10956,0.01791,221,0,0,0,0,1,0,0,80.16,-12.95,-79.18,17.89,0,0,0,0
1062,1061,0.0163,0.31787,0,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1063,1061,0.00567,0.10409,0,260,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1061,3042,0.054,0.18,0.028,221,0,0,0,0,1,0,0,14.88,-2.89,-14.77,0.44,0,0,0,0
1066,1065,0.00508,0.12315,0,200,0,0,1,0,1,0,0,106.88,-3.74,-106.3,17.83,0,0,0,0
1088,1068,0.02962,0.16921,0.02543,98,0,0,0,0,1,0,0,46.43,-0.24,-45.79,1.38,0,0,0,0
1070,1069,0.00297,0.07,0,220,0,0,1,0,1,0,0,120.38,18.58,-119.97,-8.98,0,0,0,0
1082,1069,0.02137,0.0952,0.01396,149,0,0,0,0,1,0,0,51.23,-15.07,-50.65,16.17,0,0,0,0
1072,1071,0.00529,0.08551,0,240,0,0,1,0,1,0,0,191.6,25.79,-189.67,5.54,0,0,0,0
1073,1071,0.00499,0.14254,0,240,0,0,1,0,1,0,0,191.6,32.88,-189.75,19.93,0,0,0,0
1074,1071,0.00575,0.12453,0,240,0,0,1,0,1,0,0,191.6,29.18,-189.49,16.68,0,0,0,0
1075,1071,0.00373,0.09967,0,240,0,0,1,0,1,0,0,191.6,30.03,-190.23,6.72,0,0,0,0
1076,1071,0.00141,0.04937,0,230,0,0,1,0,1,0,0,0,-0,0,0,0,0,0,0
1077,1071,0.00641,0.12047,0,230,0,0,1,0,1,0,0,0,0,-0,0,0,0,0,0
1078,1071,0.00533,0.19087,0,137,0,0,1,0,1,0,0,95.24,15.89,-94.75,1.56,0,0,0,0
1079,1071,0.00013,0.046,0,2000,0,0,1,0,1,0,0,-639.89,160.5,640.44,31.99,0,0,0,0
1080,1071,0.01206,0.20208,0,136,0,0,1,0,1,0,0,95.24,12.77,-94.15,5.52,0,0,0,0
1081,1071,0.00167,0.0665,0,350,0,0,1,0,1,0,0,73.94,59.84,-73.8,-54.17,0,0,0,0
3048,1079,0.0013,0.015,1.02,2300,0,0,0,0,1,0,0,-365.86,-1.06,367.57,-85.55,0,0,0,0
3048,1079,0.0013,0.015,1.02,2300,0,0,0,0,1,0,0,-365.86,-1.06,367.57,-85.55,0,0,0,0
1081,3058,0.0091,0.089,0.171,548,0,0,0,0,1,0,0,107.66,-17.56,-106.66,9.16,0,0,0,0
1084,3130,0.02049,0.09131,0.01339,221,0,0,0,0,1,0,0,54.33,10.01,-53.73,-8.75,0,0,0,0
1085,1086,0.03392,0.14838,0.0226,149,0,0,0,0,1,0,0,24.85,-11.17,-24.61,9.88,0,0,0,0
1090,1085,0.02018,0.13786,0.02346,221,0,0,0,0,1,0,0,-8.52,6.34,8.54,-8.59,0,0,0,0
2029,1091,0.0389,0.17144,0.0798,187,0,0,0,0,1,0,0,-18.38,-3.86,18.51,-4.04,0,0,0,0
1091,2048,0.02193,0.09667,0.045,187,0,0,0,0,1,0,0,13.28,-4.23,-13.25,-0.4,0,0,0,0
2098,1091,0.00554,0.02443,0.01137,187,0,0,0,0,1,0,0,43.51,-5.76,-43.41,4.98,0,0,0,0
2022,2001,0.00839,0.03697,0.01721,187,0,0,0,0,1,0,0,66.09,7.32,-65.73,-7.46,0,0,0,0
2027,2001,0.00955,0.04062,0.02032,187,0,0,0,0,1,0,0,-17.34,4.33,17.37,-6.24,0,0,0,0
2003,2002,0.0003,0.01986,0,981,0,0,1,0,1,0,0,-202.87,0.4,202.99,7.59,0,0,0,0
2004,2002,0.00022,0.01466,0,635,0,0,1,0,1,0,0,-0,0,0,-0,0,0,0,0
2005,2002,0.00033,0.01714,0,645,0,0,1,0,1,0,0,-0,0,0,-0,0,0,0,0
2006,2002,0.00036,0.02679,0,636,0,0,1,0,1,0,0,0,0,-0,-0,0,0,0,0
2021,2002,0.00097,0.01175,0.78032,2295,0,0,0,0,1,0,0,740,-52.25,-734.84,34.55,0,0,0,0
2002,2101,0.00031,0.0037,0.24573,2020,0,0,0,0,1,0,0,531.84,-42.14,-530.99,27.18,0,0,0,0
2038,2003,0.00353,0.02067,0.01032,251,0,0,0,0,1,0,0,-41.86,-8.05,41.93,7.37,0,0,0,0
2003,2047,0.0013,0.0099,0.0052,310,0,0,0,0,1,0,0,160.95,-7.76,-160.62,9.74,0,0,0,0
2007,2114,0.00888,0.05207,0.026,251,0,0,0,0,1,0,0,-76.25,-3.51,76.76,3.88,0,0,0,0
2007,2122,0.00861,0.03661,0.01831,187,0,0,0,0,1,0,0,66.71,0.81,-66.33,-1.02,0,0,0,0
2014,2008,0.02253,0.09931,0.04623,187,0,0,0,0,1,0,0,-10.29,-0.31,10.32,-4.39,0,0,0,0
2008,2052,0.01877,0.08271,0.0385,187,0,0,0,0,1,0,0,-18.38,2.11,18.44,-5.83,0,0,0,0
2009,2049,0.01224,0.07176,0.03583,251,0,0,0,0,1,0,0,-103.9,23.91,105.24,-19.81,0,0,0,0
2009,2082,0.00735,0.03126,0.01563,187,0,0,0,0,1,0,0,-8.4,62.09,8.68,-62.5,0,0,0,0
2109,2009,0.00725,0.03084,0.01542,250,0,0,0,0,1,0,0,-72.73,-28.52,73.16,28.76,0,0,0,0
2061,2010,0.02439,0.10748,0.05003,187,0,0,0,0,1,0,0,-16.64,-4.26,16.7,-0.73,0,0,0,0
2010,2079,0.02061,0.09083,0.04228,187,0,0,0,0,1,0,0,-34.66,4.48,34.9,-7.9,0,0,0,0
2010,2091,0.02461,0.10467,0.05235,187,0,0,0,0,1,0,0,-38.85,12.17,39.25,-15.98,0,0,0,0
2012,2011,0.00044,0.03546,0,461,0,0,1,0,1,0,0,116.63,-31.11,-116.57,36,0,0,0,0
2013,2011,0.00043,0.02897,0,412,0,0,1,0,1,0,0,150.45,-28.89,-150.36,35.29,0,0,0,0
2127,2011,0.00108,0.01307,0.86827,2020,0,0,0,0,1,0,0,-266.21,-13.85,266.93,-71.29,0,0,0,0
2012,2041,0.01245,0.05297,0.02649,187,0,0,0,0,1,0,0,-72.03,15.31,72.67,-15.38,0,0,0,0
2012,2052,0.02008,0.08851,0.0412,187,0,0,0,0,1,0,0,43.64,-1.51,-43.28,-1.21,0,0,0,0
2093,2012,0.01029,0.04536,0.02111,187,0,0,0,0,1,0,0,-29.01,7.11,29.09,-8.95,0,0,0,0
2012,2123,0.00995,0.0423,0.02115,251,0,0,0,0,1,0,0,-117.34,26.27,118.71,-22.7,0,0,0,0
2014,2029,0.01859,0.07908,0.03955,187,0,0,0,0,1,0,0,-15.13,-6.9,15.18,2.95,0,0,0,0
2015,2037,0.00862,0.03799,0.01769,187,0,0,0,0,1,0,0,8.98,-32.86,-8.89,31.44,0,0,0,0
5014,2015,0.00961,0.04237,0.01972,187,0,0,0,0,1,0,0,13.78,-33.01,-13.67,31.53,0,0,0,0
2043,2016,0.00593,0.02614,0.01217,187,0,0,0,0,1,0,0,22.64,-11.37,-22.6,10.29,0,0,0,0
2069,2016,0.0084,0.03705,0.01725,280.5,0,0,0,0,1,0,0,46.92,29.22,-46.67,-29.92,0,0,0,0
2018,2017,0.00048,0.05045,0,271,0,0,1,0,1,0,0,28.91,-5.01,-28.91,5.42,0,0,0,0
2019,2017,0.0002,0.01182,0,454,0,0,1,0,1,0,0,0,0,-0,-0,0,0,0,0
2017,2096,0.00253,0.03068,2.0384,2020,0,0,0,0,1,0,0,-256.64,-74.25,258.24,-122.85,0,0,0,0
2017,2127,0.00089,0.01081,0.71846,2020,0,0,0,0,1,0,0,285.55,-143.74,-284.77,76.13,0,0,0,0
2018,2093,0.01163,0.05125,0.02386,187,0,0,0,0,1,0,0,-28.91,5.01,29.01,-7.11,0,0,0,0
2045,2020,0.00097,0.00548,0.00295,310,0,0,0,0,1,0,0,-167.05,20.12,167.33,-18.85,0,0,0,0
2055,2020,0.00102,0.00744,0.00422,409,0,0,0,0,1,0,0,215.78,-2.2,-215.3,5.26,0,0,0,0
2022,2021,0.00034,0.01888,0,867,0,0,1,0,1,0,0,-183.36,-13.68,183.47,19.92,0,0,0,0
2023,2021,0.00054,0.03406,0,319,0,0,1,0,1,0,0,83.1,15.44,-83.06,-13.1,0,0,0,0
2024,2021,0.00036,0.02425,0,391,0,0,1,0,1,0,0,166.21,22.7,-166.12,-16.15,0,0,0,0
2113,2021,0.0001,0.00124,0.08207,2020,0,0,0,0,1,0,0,674.73,-64.49,-674.29,61.57,0,0,0,0
2022,2040,0.02207,0.09391,0.04697,187,0,0,0,0,1,0,0,12.64,-2.57,-12.61,-2.07,0,0,0,0
2064,2022,0.00558,0.03156,0.01697,251,0,0,0,0,1,0,0,-92.58,-4.69,93.06,5.66,0,0,0,0
2025,2055,0.0023,0.01016,0.00473,187,0,0,0,0,1,0,0,-33.32,-25.36,33.36,25.07,0,0,0,0
2067,2025,0.00317,0.014,0.00651,187,0,0,0,0,1,0,0,6.31,-14.75,-6.3,14.14,0,0,0,0
2058,2026,0.02475,0.10526,0.05264,187,0,0,0,0,1,0,0,64.29,-13.44,-63.3,12.09,0,0,0,0
2128,2026,0.01207,0.05318,0.02475,187,0,0,0,0,1,0,0,-44.47,15.88,44.73,-17.36,0,0,0,0
2027,2090,0.01692,0.07455,0.0347,187,0,0,0,0,1,0,0,13.78,-5.34,-13.75,1.99,0,0,0,0
2028,2045,0.00363,0.02129,0.01063,251,0,0,0,0,1,0,0,-143.66,30.08,144.45,-26.52,0,0,0,0
2028,2109,0.01026,0.0452,0.02104,250,0,0,0,0,1,0,0,-38.73,-20.21,38.92,18.94,0,0,0,0
2112,2028,0.00369,0.02161,0.01079,310,0,0,0,0,1,0,0,-167.1,19.02,168.15,-13.91,0,0,0,0
2030,2106,0.0118,0.05199,0.0242,187,0,0,0,0,1,0,0,67.28,-17.22,-66.7,17.38,0,0,0,0
2122,2030,0.00737,0.0432,0.02157,251,0,0,0,0,1,0,0,115.41,-0.21,-114.42,3.86,0,0,0,0
2031,2048,0.02398,0.10567,0.04919,187,0,0,0,0,1,0,0,33.29,-13.62,-33.01,9.63,0,0,0,0
2031,2087,0.02177,0.09259,0.04631,187,0,0,0,0,1,0,0,-39.06,11.98,39.41,-15.33,0,0,0,0
2032,2114,0.01097,0.04834,0.0225,187,0,0,0,0,1,0,0,-59.6,-0.66,59.99,0.07,0,0,0,0
2122,2032,0.01414,0.06232,0.02901,187,0,0,0,0,1,0,0,-55.81,-0.67,56.25,-0.29,0,0,0,0
2129,2033,0.00522,0.02298,0.0107,187,0,0,0,0,1,0,0,-38.61,14.75,38.7,-15.41,0,0,0,0
2033,5288,0.00925,0.03935,0.01968,187,0,0,0,0,1,0,0,-52.27,11.56,52.54,-12.35,0,0,0,0
2034,2043,0.00439,0.01867,0.00934,187,0,0,0,0,1,0,0,26.91,-10.97,-26.87,10.17,0,0,0,0
2046,2034,0.00468,0.01993,0.00997,187,0,0,0,0,1,0,0,32.3,-10.25,-32.25,9.46,0,0,0,0
2035,2066,0.01411,0.08272,0.04131,251,0,0,0,0,1,0,0,-61.57,12.39,62.11,-13.53,0,0,0,0
2035,2091,0.01863,0.10528,0.05663,251,0,0,0,0,1,0,0,56.89,-13.71,-56.29,11.15,0,0,0,0
2036,2055,0.00216,0.0092,0.0046,300,0,0,0,0,1,0,0,-89.5,43.35,89.71,-42.9,0,0,0,0
2036,2082,0.00236,0.01003,0.00502,250,0,0,0,0,1,0,0,47.91,-55.13,-47.79,55.16,0,0,0,0
2037,2065,0.00415,0.02434,0.01216,251,0,0,0,0,1,0,0,141.35,-36.62,-140.51,40.29,0,0,0,0
2110,2037,0.00307,0.01798,0.00898,251,0,0,0,0,1,0,0,136.51,-1.95,-135.96,4.19,0,0,0,0
2081,2038,0.00639,0.03748,0.01871,251,0,0,0,0,1,0,0,-39.16,-8.61,39.26,7.31,0,0,0,0
2039,2086,0.00845,0.03725,0.01734,187,0,0,0,0,1,0,0,-53.12,8.4,53.37,-9.03,0,0,0,0
5285,2039,0.00569,0.03334,0.01665,251,0,0,0,0,1,0,0,22.91,-8.76,-22.88,7.31,0,0,0,0
2039,5455,0.00371,0.02173,0.01085,251,0,0,0,0,1,0,0,70.44,-17.29,-70.24,17.37,0,0,0,0
2040,2114,0.02335,0.09932,0.04967,187,0,0,0,0,1,0,0,-31.1,1.38,31.32,-5.49,0,0,0,0
2121,2040,0.00894,0.03938,0.01833,187,0,0,0,0,1,0,0,-27.74,2.26,27.8,-3.81,0,0,0,0
2042,2041,0.00216,0.07846,0,95,0,0,1,0,1,0,0,59.7,-11.46,-59.62,14.24,0,0,0,0
2041,2058,0.0136,0.05786,0.02893,187,0,0,0,0,1,0,0,-13.05,1.13,13.07,-4.1,0,0,0,0
2065,2044,0.01021,0.04497,0.02093,187,0,0,0,0,1,0,0,-4.74,19.56,4.78,-21.56,0,0,0,0
2044,2102,0.01465,0.06453,0.03004,187,0,0,0,0,1,0,0,-32.19,13.79,32.37,-16.1,0,0,0,0
2063,2046,0.00363,0.02051,0.01103,251,0,0,0,0,1,0,0,54.54,-4.5,-54.43,3.98,0,0,0,0
2092,2047,0.00376,0.02203,0.011,251,0,0,0,0,1,0,0,-144.87,17.48,145.66,-13.98,0,0,0,0
2079,2048,0.02944,0.12973,0.06039,187,0,0,0,0,1,0,0,-39.38,6.64,39.84,-11.05,0,0,0,0
2049,2061,0.00912,0.05349,0.02671,251,0,0,0,0,1,0,0,-116.81,16.53,118.03,-12.17,0,0,0,0
2090,2050,0.02377,0.10475,0.04876,187,0,0,0,0,1,0,0,36.61,-2.28,-36.3,-1.2,0,0,0,0
2050,5268,0.01273,0.05412,0.02707,187,0,0,0,0,1,0,0,32.64,0.16,-32.5,-2.25,0,0,0,0
2080,2051,0.00691,0.03904,0.021,251,0,0,0,0,1,0,0,-140.84,42.51,142.34,-36.09,0,0,0,0
2051,2112,0.00873,0.04934,0.02654,310,0,0,0,0,1,0,0,-160.19,31.04,162.55,-20.3,0,0,0,0
5285,2053,0.00757,0.0428,0.02302,251,0,0,0,0,1,0,0,-33.06,5.89,33.15,-7.67,0,0,0,0
2053,5362,0.01118,0.06552,0.03272,251,0,0,0,0,1,0,0,-62.29,-0.59,62.72,-0.09,0,0,0,0
2055,2054,0.00016,0.00742,0,1095,0,0,1,0,1,0,0,-194.24,2.99,194.3,-0.18,0,0,0,0
2055,2054,0.00016,0.00742,0,1095,0,0,1,0,1,0,0,-194.24,2.99,194.3,-0.18,0,0,0,0
2056,2054,0.00069,0.06323,0,227,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2057,2054,0.00025,0.01321,0,1001,0,0,1,0,1,0,0,573.61,-57.99,-572.76,102.79,0,0,0,0
2127,2054,0.033,0.043,2.3,2020,0,0,0,0,1,0,0,305.25,-229.1,-273.48,31.29,0,0,0,0
2054,5236,0.0008,0.00971,0.64507,2020,0,0,0,0,1,0,0,457.65,-133.72,-455.89,90.21,0,0,0,0
2059,2058,0.00537,0.10085,0,99,0,0,1,0,1,0,0,60,-11.52,-59.81,15.14,0,0,0,0
2123,2058,0.00524,0.0231,0.01075,187,0,0,0,0,1,0,0,17.58,-3.46,-17.56,2.39,0,0,0,0
2060,2064,0.00608,0.03562,0.01779,251,0,0,0,0,1,0,0,-82.13,-1.22,82.54,1.85,0,0,0,0
5136,2060,0.00421,0.02468,0.01232,251,0,0,0,0,1,0,0,-78.07,0.15,78.33,0.15,0,0,0,0
2062,2061,0.0016,0.04103,0,223,0,0,1,0,1,0,0,101.55,-12.3,-101.39,16.43,0,0,0,0
